country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max
India,Rajasthan,Bundi,"New Colony, Bundi - RSPCB",19-05-2025 10:00:00,25.435774,75.644272,NH3,3,13
India,Rajasthan,Bundi,"New Colony, Bundi - RSPCB",19-05-2025 10:00:00,25.435774,75.644272,SO2,6,11
India,Rajasthan,Bundi,"New Colony, Bundi - RSPCB",19-05-2025 10:00:00,25.435774,75.644272,CO,11,100
India,Rajasthan,Chittorgarh,"Shastri Nagar, Chittorgarh - RSPCB",19-05-2025 10:00:00,24.892047,74.623527,PM10,45,100
India,Punjab,Patiala,"Model Town, Patiala - PPCB",19-05-2025 10:00:00,30.349388,76.366642,OZONE,44,51
India,Rajasthan,Alwar,"Moti Doongri, Alwar - RSPCB",19-05-2025 10:00:00,27.554793,76.611536,OZONE,11,75
India,Rajasthan,Banswara,"Rati Talai, Banswara - RSPCB",19-05-2025 10:00:00,23.555190,74.440010,PM10,36,111
India,Rajasthan,Banswara,"Rati Talai, Banswara - RSPCB",19-05-2025 10:00:00,23.555190,74.440010,CO,4,139
India,Rajasthan,Baran,"Bamboliya, Baran - RSPCB",19-05-2025 10:00:00,25.106006,76.469948,PM10,54,107
India,Rajasthan,Baran,"Bamboliya, Baran - RSPCB",19-05-2025 10:00:00,25.106006,76.469948,OZONE,26,136
India,Rajasthan,Barmer,"Railway Colony, Barmer - RSPCB",19-05-2025 10:00:00,25.747299,71.393989,PM2.5,7,57
India,Rajasthan,Barmer,"Railway Colony, Barmer - RSPCB",19-05-2025 10:00:00,25.747299,71.393989,OZONE,39,87
India,Rajasthan,Bharatpur,"Krishna Nagar, Bharatpur - RSPCB",19-05-2025 10:00:00,27.215415,77.50873,PM10,61,150
India,Rajasthan,Bharatpur,"Krishna Nagar, Bharatpur - RSPCB",19-05-2025 10:00:00,27.215415,77.50873,CO,8,115
India,Rajasthan,Bhilwara,"Pratap Nagar, Bhilwara - RSPCB",19-05-2025 10:00:00,25.339605,74.618883,NH3,NA,NA
India,Rajasthan,Bhilwara,"Pratap Nagar, Bhilwara - RSPCB",19-05-2025 10:00:00,25.339605,74.618883,SO2,NA,NA
India,Rajasthan,Bhiwadi,"RIICO Ind. Area III, Bhiwadi - RSPCB",19-05-2025 10:00:00,28.194909,76.862296,SO2,8,13
India,Rajasthan,Jalore,"Mudtra Sili, Jalore - RSPCB",19-05-2025 10:00:00,25.344694,72.626208,PM2.5,24,62
India,Rajasthan,Jalore,"Mudtra Sili, Jalore - RSPCB",19-05-2025 10:00:00,25.344694,72.626208,PM10,61,112
