country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","09-07-2026 18:00:00",28.4417,77.3217,NO2,NA,NA,NA
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","09-07-2026 18:00:00",28.376058,77.315741,SO2,2,9,5
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","09-07-2026 18:00:00",29.503664,75.467934,PM2.5,16,83,36
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","09-07-2026 18:00:00",29.503664,75.467934,SO2,12,48,28
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IITM","09-07-2026 18:00:00",28.422681,77.148944,NO2,6,176,15
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IITM","09-07-2026 18:00:00",28.422681,77.148944,OZONE,16,38,28
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","09-07-2026 18:00:00",28.4227,77.0667,PM10,0,500,118
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","09-07-2026 18:00:00",28.4227,77.0667,NH3,7,13,9
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","09-07-2026 18:00:00",28.4227,77.0667,CO,10,25,15
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB","09-07-2026 18:00:00",28.4501238,77.0263051,NH3,NA,NA,NA
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB","09-07-2026 18:00:00",28.4501238,77.0263051,OZONE,3,6,4
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB","09-07-2026 18:00:00",28.4275,77.1465,NO2,25,76,50
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB","09-07-2026 18:00:00",28.4275,77.1465,SO2,4,24,13
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB","09-07-2026 18:00:00",29.14056,75.744941,NH3,NA,NA,NA
India,Haryana,Jind,"Police Lines, Jind - HSPCB","09-07-2026 18:00:00",29.307814,76.337619,PM2.5,28,54,41
India,Haryana,Jind,"Police Lines, Jind - HSPCB","09-07-2026 18:00:00",29.307814,76.337619,NH3,4,5,5
India,Haryana,Jind,"Police Lines, Jind - HSPCB","09-07-2026 18:00:00",29.307814,76.337619,SO2,27,30,28
India,Gujarat,Surat,"Science Center, Surat - SMC","09-07-2026 18:00:00",21.170046,72.795405,NH3,NA,NA,NA
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","09-07-2026 18:00:00",20.362421,72.918013,NO2,14,20,16
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","09-07-2026 18:00:00",20.362421,72.918013,OZONE,12,15,14
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","09-07-2026 18:00:00",28.6701,76.9254,NO2,11,23,16
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","09-07-2026 18:00:00",28.6701,76.9254,NH3,8,13,11
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","09-07-2026 18:00:00",28.6701,76.9254,OZONE,22,25,24
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","09-07-2026 18:00:00",28.806223,76.141105,SO2,12,13,13
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","09-07-2026 18:00:00",28.806223,76.141105,OZONE,6,14,11
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","09-07-2026 18:00:00",28.593883,76.270653,PM10,7,84,43
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","09-07-2026 18:00:00",28.593883,76.270653,NO2,9,22,15
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","09-07-2026 18:00:00",28.2068,76.7997,NO2,11,39,29
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","09-07-2026 18:00:00",28.2068,76.7997,NH3,5,10,7
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","09-07-2026 18:00:00",28.2068,76.7997,SO2,7,16,11
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","09-07-2026 18:00:00",28.2068,76.7997,OZONE,29,55,45
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","09-07-2026 18:00:00",28.39072,77.30059,CO,20,27,22
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","09-07-2026 18:00:00",28.695381,77.181665,PM10,11,67,32
