country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM",13-07-2026 16:00:00,19.1653323,72.922099,PM10,31,78,60
India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM",13-07-2026 16:00:00,19.1653323,72.922099,CO,7,19,12
India,Maharashtra,Mumbai,"Worli, Mumbai - MPCB",13-07-2026 16:00:00,18.9936162,72.8128113,CO,36,39,38
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC",13-07-2026 16:00:00,18.9767,72.838,PM2.5,11,31,20
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC",13-07-2026 16:00:00,18.9767,72.838,PM10,21,76,42
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC",13-07-2026 16:00:00,18.9767,72.838,NH3,1,2,2
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC",13-07-2026 16:00:00,18.9767,72.838,SO2,4,11,7
India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB",13-07-2026 16:00:00,19.0632143,72.8456324,PM2.5,13,44,25
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",13-07-2026 16:00:00,19.065931,72.862131,PM2.5,32,87,56
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",13-07-2026 16:00:00,19.065931,72.862131,CO,26,30,28
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",13-07-2026 16:00:00,19.065931,72.862131,OZONE,15,16,15
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM",13-07-2026 16:00:00,18.96702,72.84214,SO2,4,13,7
India,Maharashtra,Mumbai,"Deonar, Mumbai - IITM",13-07-2026 16:00:00,19.04946,72.923,OZONE,12,18,17
